"0","4.004","8.009","12.01","16.02","20.02","24.03","28.03","32.04","36.04","40.04","44.05","48.05","52.06","56.06","60.07","64.07","68.08","72.08","76.08","80.09","84.09","88.1","92.1","96.11","100.1","104.1","108.1","112.1","116.1","120.1","124.1","128.1","132.1","136.2","140.2","144.2","148.2","152.2","156.2","160.2","164.2","168.2","172.2","176.2","180.2","184.2","188.2","192.2","196.2","200.2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,4,4,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,4,4,4,4,4,5,5,4,4,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,6,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,0,0,0,0,0
0,0,0,0,0,0,0,0,6,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,6,0,0,0,0
0,0,0,0,0,0,0,6,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,6,0,0,0
0,0,0,0,0,0,6,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,6,0,0,0
0,0,0,0,0,0,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,6,0,0
0,0,0,0,0,6,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,5,5,4,4,5,5,5,4,4,6,0,0
0,0,0,0,0,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,0,0
0,0,0,0,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,6,0
0,0,0,0,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,7,7,11,11,11,11,11,7,7,5,5,5,5,5,5,5,5,5,4,4,4,0
0,0,0,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,7,7,11,11,11,11,11,11,7,7,5,5,5,5,5,5,5,5,5,4,4,4,0
0,0,6,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,7,7,11,11,11,11,11,11,11,7,7,5,5,5,5,5,5,5,5,5,5,4,4,0
0,0,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,7,7,7,11,11,11,11,11,7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,0
0,0,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,7,7,7,7,7,7,7,7,7,5,5,5,5,5,4,5,5,5,5,5,4,4,0
0,0,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,5,5,5,4,4,8,4,5,5,7,7,7,7,7,5,5,5,5,5,5,4,5,5,5,5,5,4,4,0
0,0,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,4,4,8,8,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,0
0,6,4,4,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,8,8,4,5,5,4,8,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,0
